move,X,Y,Z,E,F,A,command,line,,,,,
FALSE,None,None,None,None,None,0,0,0,,FLAVOR:Marlin,,FLAVOR:Marlin,
FALSE,None,None,None,None,None,0,0,0,,TIME:4334,,TIME:4334,
FALSE,None,None,None,None,None,0,0,0,,Filament,,Filament used: 2.81148m,
FALSE,None,None,None,None,None,0,0,0,,Layer,,Layer height: 0.2,
FALSE,None,None,None,None,None,0,0,0,,MINX:113.1,,MINX:113.1,
FALSE,None,None,None,None,None,0,0,0,,MINY:43.1,,MINY:43.1,
FALSE,None,None,None,None,None,0,0,0,,MINZ:0.2,,MINZ:0.2,
FALSE,None,None,None,None,None,0,0,0,,MAXX:136.9,,MAXX:136.9,
FALSE,None,None,None,None,None,0,0,0,,MAXY:66.9,,MAXY:66.9,
FALSE,None,None,None,None,None,0,0,0,,MAXZ:58,,MAXZ:58,
FALSE,None,None,None,None,None,0,0,0,,Generated,,Generated with Cura_SteamEngine 5.2.2,
FALSE,None,None,None,None,None,0,0,0,M82,M82 ,absolute extrusion mode,,
FALSE,None,None,None,None,None,0,0,0,G21,G21 , set units to millimeters,,
FALSE,None,None,None,None,None,0,0,0,G90,G90 , use absolute positioning,,
FALSE,None,None,None,None,None,0,0,0,M82,M82 , absolute extrusion mode,,
FALSE,None,None,None,None,None,0,0,0,M104,M104 S200 , set extruder temp,,
FALSE,None,None,None,None,None,0,0,0,M140,M140 S60 , set bed temp,,
FALSE,None,None,None,None,None,0,0,0,M190,M190 S60 , wait for bed temp,,
FALSE,None,None,None,None,None,0,0,0,M109,M109 S200 , wait for extruder temp,,
FALSE,None,None,None,None,None,0,0,0,,G28,,G28 W , home all without mesh bed level
FALSE,None,None,None,None,None,0,0,0,,G80,,G80 , mesh bed leveling
FALSE,None,None,None,None,None,0,0,0,G92,G92 E0.0 , reset extruder distance position,,
TRUE,None,None,None,None,None,0,0,0,G1,G1 Y-3.0 F1000.0 , go outside print area,,
TRUE,None,None,None,None,None,0,0,0,G1,G1 X60.0 E9.0 F1000.0 , intro line,,
TRUE,None,None,None,None,None,0,0,0,G1,G1 X100.0 E21.5 F1000.0 , intro line,,
FALSE,None,None,None,None,None,0,0,0,G92,G92 E0.0 , reset extruder distance position,,
FALSE,None,None,None,None,None,0,0,0,M83,M83 ,relative extrusion mode,,
TRUE,0,0,0,-0.8,2100,0,0,0,G1,G1 F2100 E-0.8,,,
FALSE,None,None,None,None,None,0,0,0,,LAYER_COUNT:290,,LAYER_COUNT:290,
FALSE,None,None,None,None,None,0,0,0,,LAYER:0,,LAYER:0,
FALSE,0,0,0,-0.8,2100,0,0,0,M107,M107,,,
TRUE,113.488,45.722,0.2,-0.8,3600,0,0,0,G0,G0 F3600 X113.488 Y45.722 Z0.2,,,
FALSE,None,None,None,None,None,0,0,0,,TYPE:SKIRT,,TYPE:SKIRT,
TRUE,113.488,45.722,0.2,0.8,2100,0,0,0,G1,G1 F2100 E0.8,,,
